code;label-en_US;label-fr_FR;attributes;attribute_as_image;attribute_as_label;requirements-master
wine_cellar;Wine cellar;Cave à vin;sku,capacity_bottle,energy_class,main_color,release_date,dimension_height,dimension_width,dimension_depth,dimensions,ean,brand,model,sound_level,weight,temperature_maximum,temperature_minimum;;ean;ean
oven;Oven;Four;sku,capacity_liter,energy_class,main_color,release_date,dimension_height,dimension_width,dimension_depth,dimensions,built_in_dimensions,ean,grill,integrated_light,brand,timer,cooking_mode,model,number_of_cooking_modes,oven_cleaning,weight,power_oven,power_grill,temperature_maximum,temperature_minimum,door_type;;ean;ean
washing_machine;Washing machine;Lave-Linge;sku,capacity_kg,energy_class,consumption_water_cycle,consumption_energy,main_color,release_date,departure_end_delayed,dimension_height,dimension_width,dimension_depth,dimensions,ean,brand,model,sound_level,weight,loading_type,type_installation,spin_speed,volume;;ean;ean
washer_dryer;Washer dryer;Lave-Linge Séchant;sku,capacity_kg,capacity_drying,energy_class,consumption_water_cycle,consumption_water_drying_cycle,main_color,release_date,departure_end_delayed,dimension_height,dimension_width,dimension_depth,dimensions,ean,brand,model,weight,loading_type,type_installation,spin_speed;;ean;ean
dishwasher;Dishwasher;Lave vaisselle;sku,capacity_kg,energy_class,consumption_water_cycle,consumption_energy,main_color,release_date,departure_end_delayed,dimension_height,dimension_width,dimension_depth,dimensions,built_in_dimensions,ean,brand,model,number_of_programs,sound_level,weight,type_installation;;ean;ean
microwave;Microwave;Micro onde;sku,capacity_liter,energy_class,main_color,release_date,dimension_height,dimension_width,dimension_depth,dimensions,built_in_dimensions,ean,integrated_light,brand,timer,model,weight,power;;ean;ean
fridge;Fridge;Réfrigérateur;sku,climate_class,energy_class,consumption_energy_annual,main_color,release_date,defrosting,dimension_height,dimension_width,dimension_depth,dimensions,water_dispenser,ean,brand,model,sound_level,weight,reversible_door,freezer_position,cold_type,type_installation,volume_freezer,volume_refrigerator,volume_total;;ean;ean
dryer;Dryer;Sèche Linge;sku,capacity_drying,energy_class,consumption_energy_annual,main_color,release_date,departure_end_delayed,dimension_height,dimension_width,dimension_depth,dimensions,ean,time_remaining_indicator,brand,model,sound_level,weight,child_safety,type_installation,dryer_type,volume;;ean;ean



